,ID,Keywords,emb_2d_0,emb_2d_1,borders
69,69,"cayley graph,transitive graph",6.9800854,1.3110057,"7.026633,1.6057299 6.651314,1.6057299 6.651314,1.6414473 7.3251576,1.2444075 7.3251576,1.6414473"
70,70,"chemotaxis system,boundary conditionsin",11.61393,4.7527156,"11.752772,4.920579 11.417938,4.920579 11.611207,4.6272454 11.669907,4.672341 11.704759,4.920579 11.704759,4.7280893"
71,71,"deep neural,deep understanding",6.849453,6.162679,"6.960833,6.112435 6.8964505,6.681089 6.8821106,6.681089 6.8821106,5.905114 7.220267,6.112435 7.220267,6.397009"
72,72,"scheduling,inventory",6.288329,5.3985662,"6.479876,5.1781216 6.0409813,5.530528 6.0409813,5.826 6.397923,5.530528 6.4836063,5.1781216 6.4836063,5.158489"
73,73,"plasma physic,celestial amplitude",8.251902,7.1713486,"13.360385,0.12918092 8.393462,7.709744 8.393462,0.12918092 7.8053727,7.709744 13.317071,-0.06528185 13.317071,6.8573546"
74,74,"linear code,encode",7.754988,0.8109708,"7.794937,0.9470019 7.682722,0.94075334 7.8033834,0.9470019 7.8033834,0.9745884 7.6748095,0.94075334 7.7773046,0.83451444 7.7773046,0.8569114 7.7171702,0.8569114 7.7171702,0.90515476"
75,75,"fractional differential,fractional diffusion",5.5614314,9.39862,"5.6214314,9.387374 5.5325923,9.387374 5.63842,9.29413 5.63842,9.420185 5.5788736,9.306636 5.6547747,9.29413 5.6547747,9.2724495"
76,76,"computation,computationally efficient",7.7621584,4.362644,"7.8036385,5.567153 7.9637656,6.419934 7.9637656,5.567153 7.7448773,6.419934 7.7448773,3.8615913"
77,77,"galerkin method,multiphase flow",11.157255,7.641968,"11.180438,7.4842663 10.942713,7.4842663 11.121716,7.4842663 11.121716,7.655616 11.033233,7.655616 11.033233,7.554265"
78,78,"mhd equation,weak solution",12.447858,5.799179,"12.493383,5.4625835 12.313015,5.4625835 12.467009,5.4625835 12.467009,5.9345374"
79,79,"convex optimization,variational formulation",9.321928,4.783584,"9.366073,4.9044905 9.204667,4.8429046 9.204667,4.9044905 9.234441,4.8429046 9.259206,4.812565 9.364834,4.732316 9.364834,4.7959404"
80,80,"iterative method,iterative scheme",9.798366,5.422551,"9.097057,5.194422 9.097057,5.5541267 9.805535,5.5541267 9.214923,5.194422 9.214923,5.2741494"
81,81,"traffic flow,traffic congestion",6.7291226,5.412422,"6.8435235,5.863383 6.575058,5.863383 6.7800922,5.3574157 6.7800922,5.6200843 6.575058,5.5638375 6.575058,5.863383 6.644761,5.3574157 6.644761,5.5638375"
82,82,"image encryption,encryption",7.7348523,4.6859517,"7.690258,4.95362 7.810327,4.95362 7.629218,4.611768 7.629218,4.95362 7.673541,4.611768 7.673541,4.8066053"
